uf;br_formatada;municipio;mes;trimestre;dia_semana;dia_semana_num;fim_de_semana;hora;faixa_horaria;turno;fase_dia;causa_acidente;tipo_acidente;condicao_metereologica;tipo_pista;tracado_via;uso_solo;acidente_fatal
RJ;BR-101;NITEROI;3;1;SEXTA-FEIRA;4;0;16;15H-17H;TARDE;PLENO DIA;REAÇÃO TARDIA OU INEFICIENTE DO CONDUTOR;TOMBAMENTO;CÉU CLARO;SIMPLES;RETA;SIM;0
BA;BR-101;ITABELA;3;1;SEXTA-FEIRA;4;0;14;12H-14H;TARDE;PLENO DIA;ACESSAR A VIA SEM OBSERVAR A PRESENÇA DOS OUTROS VEÍCULOS;COLISÃO TRANSVERSAL;CÉU CLARO;SIMPLES;RETA;NÃO;0
RN;BR-304;MOSSORO;3;1;SEXTA-FEIRA;4;0;15;15H-17H;TARDE;PLENO DIA;AUSÊNCIA DE REAÇÃO DO CONDUTOR;TOMBAMENTO;NUBLADO;DUPLA;RETA;SIM;0
MG;BR-050;UBERLANDIA;3;1;SEXTA-FEIRA;4;0;16;15H-17H;TARDE;PLENO DIA;VELOCIDADE INCOMPATÍVEL;SAÍDA DE LEITO CARROÇÁVEL;CHUVA;DUPLA;"DECLIVE;CURVA";NÃO;0
MA;BR-230;CAROLINA;3;1;SEXTA-FEIRA;4;0;11;09H-11H;MANHÃ;PLENO DIA;SUICÍDIO (PRESUMIDO);ATROPELAMENTO DE PEDESTRE;CÉU CLARO;SIMPLES;RETA;NÃO;1
SC;BR-IGNORADA;SAO JOSE;2;1;QUARTA-FEIRA;2;0;12;12H-14H;TARDE;PLENO DIA;DEMAIS FALHAS MECÂNICAS OU ELÉTRICAS;COLISÃO COM OBJETO;CÉU CLARO;SIMPLES;RETA;SIM;0
RS;BR-116;SAO LEOPOLDO;3;1;SEXTA-FEIRA;4;0;17;15H-17H;TARDE;PLENO DIA;RETORNO PROIBIDO;COLISÃO TRASEIRA;CÉU CLARO;SIMPLES;RETA;SIM;0
PR;BR-369;UBIRATA;3;1;SEXTA-FEIRA;4;0;17;15H-17H;TARDE;PLENO DIA;INGESTÃO DE ÁLCOOL PELO CONDUTOR;COLISÃO TRASEIRA;NUBLADO;SIMPLES;CURVA;NÃO;0
PR;BR-369;LONDRINA;3;1;SEXTA-FEIRA;4;0;17;15H-17H;TARDE;PLENO DIA;TRAFEGAR COM MOTOCICLETA (OU SIMILAR) ENTRE AS FAIXAS;TOMBAMENTO;NUBLADO;DUPLA;RETA;SIM;0
PE;BR-101;RECIFE;3;1;SEXTA-FEIRA;4;0;13;12H-14H;TARDE;PLENO DIA;ACESSO IRREGULAR;QUEDA DE OCUPANTE DE VEÍCULO;CHUVA;DUPLA;RETA;SIM;0
GO;BR-153;HIDROLANDIA;3;1;SEXTA-FEIRA;4;0;15;15H-17H;TARDE;PLENO DIA;MAL SÚBITO DO CONDUTOR;SAÍDA DE LEITO CARROÇÁVEL;CÉU CLARO;DUPLA;"RETA;ACLIVE";NÃO;0
PA;BR-316;SANTA MARIA DO PARA;3;1;SEXTA-FEIRA;4;0;16;15H-17H;TARDE;PLENO DIA;CONVERSÃO PROIBIDA;COLISÃO TRANSVERSAL;CÉU CLARO;SIMPLES;INTERSEÇÃO DE VIAS;NÃO;0
RS;BR-116;ARROIO GRANDE;3;1;SEXTA-FEIRA;4;0;16;15H-17H;TARDE;PLENO DIA;AUSÊNCIA DE REAÇÃO DO CONDUTOR;SAÍDA DE LEITO CARROÇÁVEL;CÉU CLARO;SIMPLES;"RETA;DECLIVE";NÃO;1
MG;BR-040;PARAOPEBA;3;1;SEXTA-FEIRA;4;0;18;18H-20H;NOITE;ANOITECER;ENTRADA INOPINADA DO PEDESTRE;ATROPELAMENTO DE PEDESTRE;CÉU CLARO;DUPLA;"RETA;DECLIVE";NÃO;1
PR;BR-277;SANTA TEREZA DO OESTE;3;1;SEXTA-FEIRA;4;0;17;15H-17H;TARDE;PLENO DIA;CONDUTOR DEIXOU DE MANTER DISTÂNCIA DO VEÍCULO DA FRENTE;COLISÃO TRASEIRA;CÉU CLARO;SIMPLES;RETA;SIM;0
MG;BR-365;BURITIZEIRO;3;1;SEXTA-FEIRA;4;0;17;15H-17H;TARDE;ANOITECER;ACESSAR A VIA SEM OBSERVAR A PRESENÇA DOS OUTROS VEÍCULOS;COLISÃO TRANSVERSAL;SOL;SIMPLES;RETA;SIM;0
SC;BR-470;BLUMENAU;3;1;SEXTA-FEIRA;4;0;18;18H-20H;NOITE;ANOITECER;ACESSAR A VIA SEM OBSERVAR A PRESENÇA DOS OUTROS VEÍCULOS;COLISÃO TRANSVERSAL;NUBLADO;DUPLA;"EM OBRAS;INTERSEÇÃO DE VIAS;RETA";SIM;0
SC;BR-101;SANGAO;3;1;SEXTA-FEIRA;4;0;18;18H-20H;NOITE;PLENO DIA;MANOBRA DE MUDANÇA DE FAIXA;CAPOTAMENTO;CÉU CLARO;DUPLA;RETA;SIM;0
MG;BR-040;BARBACENA;3;1;SEXTA-FEIRA;4;0;17;15H-17H;TARDE;PLENO DIA;MANOBRA DE MUDANÇA DE FAIXA;COLISÃO LATERAL MESMO SENTIDO;CHUVA;SIMPLES;"ACLIVE;CURVA";NÃO;0
PR;BR-116;CURITIBA;3;1;SEXTA-FEIRA;4;0;18;18H-20H;NOITE;ANOITECER;ACESSAR A VIA SEM OBSERVAR A PRESENÇA DOS OUTROS VEÍCULOS;COLISÃO TRANSVERSAL;NUBLADO;MÚLTIPLA;RETA;SIM;0
SC;BR-101;BALNEARIO PICARRAS;3;1;SEXTA-FEIRA;4;0;17;15H-17H;TARDE;PLENO DIA;MANOBRA DE MUDANÇA DE FAIXA;COLISÃO LATERAL MESMO SENTIDO;NUBLADO;DUPLA;"ACLIVE;RETA";SIM;0
SE;BR-235;LARANJEIRAS;3;1;SEXTA-FEIRA;4;0;16;15H-17H;TARDE;PLENO DIA;AVARIAS E/OU DESGASTE EXCESSIVO NO PNEU;COLISÃO COM OBJETO;CÉU CLARO;SIMPLES;RETA;NÃO;0
RS;BR-158;ITAARA;3;1;SEXTA-FEIRA;4;0;18;18H-20H;NOITE;PLENO DIA;AUSÊNCIA DE REAÇÃO DO CONDUTOR;TOMBAMENTO;CÉU CLARO;SIMPLES;RETA;NÃO;0
BA;BR-242;SEABRA;3;1;SEXTA-FEIRA;4;0;17;15H-17H;TARDE;PLENO DIA;ACESSAR A VIA SEM OBSERVAR A PRESENÇA DOS OUTROS VEÍCULOS;COLISÃO TRANSVERSAL;CÉU CLARO;SIMPLES;RETA;NÃO;0
SP;BR-153;SAO JOSE DO RIO PRETO;3;1;SEXTA-FEIRA;4;0;19;18H-20H;NOITE;PLENA NOITE;INGESTÃO DE ÁLCOOL PELO CONDUTOR;COLISÃO TRANSVERSAL;NUBLADO;DUPLA;RETA;SIM;0
RS;BR-287;SAO VICENTE DO SUL;3;1;SEXTA-FEIRA;4;0;16;15H-17H;TARDE;PLENO DIA;AUSÊNCIA DE REAÇÃO DO CONDUTOR;SAÍDA DE LEITO CARROÇÁVEL;CÉU CLARO;SIMPLES;RETA;NÃO;0
MT;BR-163;SINOP;3;1;SEXTA-FEIRA;4;0;18;18H-20H;NOITE;PLENO DIA;RETORNO PROIBIDO;COLISÃO LATERAL SENTIDO OPOSTO;CÉU CLARO;DUPLA;RETA;SIM;0
PI;BR-316;BARRO DURO;3;1;SEXTA-FEIRA;4;0;16;15H-17H;TARDE;ANOITECER;TRANSITAR NA CONTRAMÃO;COLISÃO FRONTAL;CÉU CLARO;SIMPLES;RETA;NÃO;0
ES;BR-101;SERRA;3;1;SEXTA-FEIRA;4;0;19;18H-20H;NOITE;PLENA NOITE;ACESSAR A VIA SEM OBSERVAR A PRESENÇA DOS OUTROS VEÍCULOS;COLISÃO TRANSVERSAL;NUBLADO;MÚLTIPLA;"RETA;INTERSEÇÃO DE VIAS";SIM;0
PI;BR-316;TERESINA;3;1;SEXTA-FEIRA;4;0;18;18H-20H;NOITE;PLENA NOITE;ENTRADA INOPINADA DO PEDESTRE;ATROPELAMENTO DE PEDESTRE;CÉU CLARO;MÚLTIPLA;RETA;SIM;0
MG;BR-381;SANTO ANTONIO DO AMPARO;3;1;SEXTA-FEIRA;4;0;18;18H-20H;NOITE;ANOITECER;REAÇÃO TARDIA OU INEFICIENTE DO CONDUTOR;CAPOTAMENTO;CHUVA;DUPLA;CURVA;NÃO;0
SC;BR-101;ARARANGUA;3;1;SEXTA-FEIRA;4;0;18;18H-20H;NOITE;ANOITECER;DESRESPEITAR A PREFERÊNCIA NO CRUZAMENTO;COLISÃO TRANSVERSAL;NUBLADO;SIMPLES;"RETA;INTERSEÇÃO DE VIAS";SIM;0
SP;BR-116;JACAREI;3;1;SEXTA-FEIRA;4;0;20;18H-20H;NOITE;PLENA NOITE;ANIMAIS NA PISTA;ATROPELAMENTO DE ANIMAL;CÉU CLARO;DUPLA;"RETA;DECLIVE";SIM;0
SC;BR-470;SAO CRISTOVAO DO SUL;3;1;SEXTA-FEIRA;4;0;19;18H-20H;NOITE;PLENA NOITE;VELOCIDADE INCOMPATÍVEL;SAÍDA DE LEITO CARROÇÁVEL;CÉU CLARO;SIMPLES;RETA;NÃO;0
RS;BR-386;LAJEADO;3;1;SEXTA-FEIRA;4;0;20;18H-20H;NOITE;PLENA NOITE;AUSÊNCIA DE REAÇÃO DO CONDUTOR;COLISÃO TRASEIRA;IGNORADO;DUPLA;"RETA;EM OBRAS";SIM;0
ES;BR-101;SERRA;3;1;SEXTA-FEIRA;4;0;20;18H-20H;NOITE;PLENA NOITE;REAÇÃO TARDIA OU INEFICIENTE DO CONDUTOR;TOMBAMENTO;CÉU CLARO;SIMPLES;RETA;NÃO;0
MG;BR-262;CAMPO FLORIDO;3;1;SEXTA-FEIRA;4;0;20;18H-20H;NOITE;PLENA NOITE;REAÇÃO TARDIA OU INEFICIENTE DO CONDUTOR;COLISÃO TRASEIRA;CÉU CLARO;SIMPLES;"RETA;ACLIVE";NÃO;0
RO;BR-364;JARU;3;1;SEXTA-FEIRA;4;0;19;18H-20H;NOITE;PLENA NOITE;ACESSAR A VIA SEM OBSERVAR A PRESENÇA DOS OUTROS VEÍCULOS;COLISÃO TRASEIRA;NUBLADO;SIMPLES;ACLIVE;SIM;0
SC;BR-101;JOINVILLE;3;1;SEXTA-FEIRA;4;0;18;18H-20H;NOITE;ANOITECER;AVARIAS E/OU DESGASTE EXCESSIVO NO PNEU;QUEDA DE OCUPANTE DE VEÍCULO;CÉU CLARO;DUPLA;RETA;NÃO;0
SC;BR-101;ARARANGUA;3;1;SEXTA-FEIRA;4;0;16;15H-17H;TARDE;PLENO DIA;ACESSAR A VIA SEM OBSERVAR A PRESENÇA DOS OUTROS VEÍCULOS;COLISÃO TRANSVERSAL;CÉU CLARO;MÚLTIPLA;INTERSEÇÃO DE VIAS;SIM;0
RJ;BR-116;TERESOPOLIS;3;1;SEXTA-FEIRA;4;0;19;18H-20H;NOITE;PLENA NOITE;TRANSITAR NA CONTRAMÃO;COLISÃO FRONTAL;CÉU CLARO;SIMPLES;RETA;NÃO;0
RO;BR-364;PIMENTA BUENO;3;1;SEXTA-FEIRA;4;0;19;18H-20H;NOITE;PLENA NOITE;FALTA DE ELEMENTO DE CONTENÇÃO QUE EVITE A SAÍDA DO LEITO CARROÇÁVEL;SAÍDA DE LEITO CARROÇÁVEL;CÉU CLARO;SIMPLES;"RETA;DECLIVE";NÃO;0
PR;BR-116;FAZENDA RIO GRANDE;3;1;SEXTA-FEIRA;4;0;20;18H-20H;NOITE;PLENA NOITE;TRAFEGAR COM MOTOCICLETA (OU SIMILAR) ENTRE AS FAIXAS;COLISÃO TRASEIRA;NUBLADO;DUPLA;RETA;SIM;0
RJ;BR-040;PETROPOLIS;3;1;SEXTA-FEIRA;4;0;17;15H-17H;TARDE;PLENO DIA;REAÇÃO TARDIA OU INEFICIENTE DO CONDUTOR;TOMBAMENTO;CÉU CLARO;DUPLA;"ACLIVE;CURVA";NÃO;0
SP;BR-116;BARRA DO TURVO;3;1;SEXTA-FEIRA;4;0;21;21H-23H;NOITE;PLENA NOITE;REAÇÃO TARDIA OU INEFICIENTE DO CONDUTOR;CAPOTAMENTO;CHUVA;MÚLTIPLA;CURVA;NÃO;0
MG;BR-116;CARATINGA;3;1;SEXTA-FEIRA;4;0;20;18H-20H;NOITE;PLENA NOITE;ACESSAR A VIA SEM OBSERVAR A PRESENÇA DOS OUTROS VEÍCULOS;COLISÃO TRANSVERSAL;NUBLADO;DUPLA;INTERSEÇÃO DE VIAS;SIM;0
RJ;BR-493;MAGE;3;1;SEXTA-FEIRA;4;0;17;15H-17H;TARDE;ANOITECER;CONVERSÃO PROIBIDA;COLISÃO FRONTAL;CÉU CLARO;SIMPLES;RETA;SIM;0
RN;BR-101;PARNAMIRIM;3;1;SEXTA-FEIRA;4;0;22;21H-23H;NOITE;PLENA NOITE;CONVERSÃO PROIBIDA;COLISÃO TRANSVERSAL;CÉU CLARO;DUPLA;RETA;SIM;0
