uf;br_formatada;municipio;mes;trimestre;dia_semana;dia_semana_num;fim_de_semana;hora;faixa_horaria;turno;fase_dia;causa_acidente;tipo_acidente;condicao_metereologica;tipo_pista;tracado_via;uso_solo;acidente_fatal
PE;BR-101;IGARASSU;8;3;TERÇA-FEIRA;1;0;13;12H-14H;TARDE;PLENO DIA;MANOBRA DE MUDANÇA DE FAIXA;COLISÃO LATERAL MESMO SENTIDO;SOL;MÚLTIPLA;RETA;SIM;0
CE;BR-116;JATI;8;3;TERÇA-FEIRA;1;0;14;12H-14H;TARDE;PLENO DIA;AUSÊNCIA DE REAÇÃO DO CONDUTOR;COLISÃO TRASEIRA;CÉU CLARO;SIMPLES;RETA;NÃO;0
SP;BR-153;ONDA VERDE;8;3;TERÇA-FEIRA;1;0;14;12H-14H;TARDE;PLENO DIA;REAÇÃO TARDIA OU INEFICIENTE DO CONDUTOR;ENGAVETAMENTO;CÉU CLARO;SIMPLES;"RETA;EM OBRAS";NÃO;0
SP;BR-116;CAJATI;8;3;TERÇA-FEIRA;1;0;14;12H-14H;TARDE;PLENO DIA;REAÇÃO TARDIA OU INEFICIENTE DO CONDUTOR;TOMBAMENTO;CHUVA;SIMPLES;RETA;NÃO;0
PR;BR-369;CORBELIA;8;3;TERÇA-FEIRA;1;0;13;12H-14H;TARDE;PLENO DIA;MAL SÚBITO DO CONDUTOR;COLISÃO TRASEIRA;NUBLADO;SIMPLES;RETA;NÃO;0
CE;BR-116;HORIZONTE;8;3;TERÇA-FEIRA;1;0;14;12H-14H;TARDE;PLENO DIA;DEMAIS FALHAS MECÂNICAS OU ELÉTRICAS;COLISÃO COM OBJETO;CÉU CLARO;DUPLA;RETA;SIM;0
TO;BR-235;TUPIRAMA;8;3;TERÇA-FEIRA;1;0;14;12H-14H;TARDE;PLENO DIA;TRANSITAR NA CONTRAMÃO;COLISÃO FRONTAL;CÉU CLARO;SIMPLES;"RETA;DECLIVE";NÃO;1
PR;BR-277;CEU AZUL;8;3;TERÇA-FEIRA;1;0;13;12H-14H;TARDE;PLENO DIA;AUSÊNCIA DE REAÇÃO DO CONDUTOR;SAÍDA DE LEITO CARROÇÁVEL;CÉU CLARO;SIMPLES;"ACLIVE;RETA";NÃO;0
RS;BR-285;IJUI;8;3;TERÇA-FEIRA;1;0;15;15H-17H;TARDE;PLENO DIA;DESRESPEITAR A PREFERÊNCIA NO CRUZAMENTO;COLISÃO TRANSVERSAL;CÉU CLARO;SIMPLES;"INTERSEÇÃO DE VIAS;RETA";NÃO;0
PR;BR-116;CAMPINA GRANDE DO SUL;8;3;TERÇA-FEIRA;1;0;16;15H-17H;TARDE;PLENO DIA;ACUMULO DE ÁGUA SOBRE O PAVIMENTO;SAÍDA DE LEITO CARROÇÁVEL;CHUVA;MÚLTIPLA;CURVA;NÃO;0
PA;BR-163;NOVO PROGRESSO;8;3;TERÇA-FEIRA;1;0;15;15H-17H;TARDE;PLENO DIA;ULTRAPASSAGEM INDEVIDA;COLISÃO FRONTAL;CÉU CLARO;SIMPLES;CURVA;NÃO;0
MT;BR-163;TERRA NOVA DO NORTE;8;3;TERÇA-FEIRA;1;0;15;15H-17H;TARDE;PLENO DIA;AUSÊNCIA DE REAÇÃO DO CONDUTOR;SAÍDA DE LEITO CARROÇÁVEL;SOL;SIMPLES;RETA;NÃO;0
ES;BR-101;SERRA;8;3;TERÇA-FEIRA;1;0;17;15H-17H;TARDE;ANOITECER;ACESSAR A VIA SEM OBSERVAR A PRESENÇA DOS OUTROS VEÍCULOS;COLISÃO TRANSVERSAL;NUBLADO;DUPLA;RETA;NÃO;0
RS;BR-472;SANTA ROSA;8;3;TERÇA-FEIRA;1;0;16;15H-17H;TARDE;PLENO DIA;DESRESPEITAR A PREFERÊNCIA NO CRUZAMENTO;COLISÃO TRANSVERSAL;CÉU CLARO;SIMPLES;RETA;SIM;1
RJ;BR-101;RIO DE JANEIRO;8;3;TERÇA-FEIRA;1;0;17;15H-17H;TARDE;ANOITECER;MANOBRA DE MUDANÇA DE FAIXA;COLISÃO TRASEIRA;CHUVA;DUPLA;RETA;NÃO;0
MG;BR-381;SAO GONCALO DO RIO ABAIXO;8;3;TERÇA-FEIRA;1;0;17;15H-17H;TARDE;ANOITECER;VELOCIDADE INCOMPATÍVEL;COLISÃO FRONTAL;CÉU CLARO;SIMPLES;CURVA;NÃO;0
MA;BR-230;BALSAS;8;3;TERÇA-FEIRA;1;0;16;15H-17H;TARDE;PLENO DIA;DEMAIS FALHAS MECÂNICAS OU ELÉTRICAS;SAÍDA DE LEITO CARROÇÁVEL;CÉU CLARO;SIMPLES;RETA;NÃO;0
BA;BR-324;FEIRA DE SANTANA;8;3;TERÇA-FEIRA;1;0;17;15H-17H;TARDE;ANOITECER;ÁREA URBANA SEM A PRESENÇA DE LOCAL APROPRIADO PARA A TRAVESSIA DE PEDESTRES;ATROPELAMENTO DE PEDESTRE;GAROA/CHUVISCO;SIMPLES;RETA;SIM;0
SP;BR-381;MAIRIPORA;8;3;TERÇA-FEIRA;1;0;19;18H-20H;NOITE;PLENA NOITE;REAÇÃO TARDIA OU INEFICIENTE DO CONDUTOR;COLISÃO LATERAL MESMO SENTIDO;NUBLADO;SIMPLES;"CURVA;ROTATÓRIA;VIADUTO";SIM;0
RS;BR-471;RIO PARDO;8;3;TERÇA-FEIRA;1;0;18;18H-20H;NOITE;ANOITECER;ACESSAR A VIA SEM OBSERVAR A PRESENÇA DOS OUTROS VEÍCULOS;COLISÃO TRANSVERSAL;CÉU CLARO;SIMPLES;"CURVA;INTERSEÇÃO DE VIAS";NÃO;0
SC;BR-101;PALHOCA;8;3;TERÇA-FEIRA;1;0;19;18H-20H;NOITE;PLENA NOITE;VELOCIDADE INCOMPATÍVEL;COLISÃO COM OBJETO;GAROA/CHUVISCO;DUPLA;CURVA;NÃO;0
SP;BR-116;CACAPAVA;8;3;TERÇA-FEIRA;1;0;20;18H-20H;NOITE;PLENA NOITE;AUSÊNCIA DE REAÇÃO DO CONDUTOR;COLISÃO TRASEIRA;NUBLADO;DUPLA;RETA;SIM;0
PA;BR-230;MARABA;8;3;TERÇA-FEIRA;1;0;11;09H-11H;MANHÃ;PLENO DIA;REAÇÃO TARDIA OU INEFICIENTE DO CONDUTOR;SAÍDA DE LEITO CARROÇÁVEL;CÉU CLARO;SIMPLES;ACLIVE;NÃO;0
MA;BR-135;PERITORO;8;3;TERÇA-FEIRA;1;0;16;15H-17H;TARDE;PLENA NOITE;REAÇÃO TARDIA OU INEFICIENTE DO CONDUTOR;SAÍDA DE LEITO CARROÇÁVEL;CÉU CLARO;DUPLA;DECLIVE;NÃO;0
GO;BR-153;NOVA GLORIA;8;3;TERÇA-FEIRA;1;0;14;12H-14H;TARDE;PLENO DIA;REAÇÃO TARDIA OU INEFICIENTE DO CONDUTOR;COLISÃO TRASEIRA;CÉU CLARO;SIMPLES;"ACLIVE;RETA";NÃO;0
AC;BR-364;BUJARI;8;3;TERÇA-FEIRA;1;0;14;12H-14H;TARDE;PLENO DIA;AUSÊNCIA DE REAÇÃO DO CONDUTOR;SAÍDA DE LEITO CARROÇÁVEL;SOL;SIMPLES;RETA;NÃO;0
DF;BR-070;BRASILIA;8;3;TERÇA-FEIRA;1;0;21;21H-23H;NOITE;PLENO DIA;ACESSAR A VIA SEM OBSERVAR A PRESENÇA DOS OUTROS VEÍCULOS;COLISÃO TRANSVERSAL;CÉU CLARO;DUPLA;CURVA;SIM;0
GO;BR-040;CRISTALINA;8;3;TERÇA-FEIRA;1;0;21;21H-23H;NOITE;PLENA NOITE;REAÇÃO TARDIA OU INEFICIENTE DO CONDUTOR;COLISÃO TRASEIRA;CÉU CLARO;SIMPLES;"RETA;ACLIVE";NÃO;1
SC;BR-282;LAGES;8;3;TERÇA-FEIRA;1;0;19;18H-20H;NOITE;PLENA NOITE;ACESSAR A VIA SEM OBSERVAR A PRESENÇA DOS OUTROS VEÍCULOS;COLISÃO TRASEIRA;CHUVA;SIMPLES;RETA;SIM;0
RO;BR-364;VILHENA;8;3;TERÇA-FEIRA;1;0;19;18H-20H;NOITE;PLENA NOITE;MANOBRA DE MUDANÇA DE FAIXA;COLISÃO LATERAL SENTIDO OPOSTO;CÉU CLARO;SIMPLES;RETA;NÃO;0
SP;BR-116;CACAPAVA;8;3;TERÇA-FEIRA;1;0;23;21H-23H;NOITE;PLENA NOITE;REAÇÃO TARDIA OU INEFICIENTE DO CONDUTOR;COLISÃO TRASEIRA;GAROA/CHUVISCO;DUPLA;RETA;NÃO;0
SP;BR-116;REGISTRO;8;3;QUARTA-FEIRA;2;0;4;03H-05H;MADRUGADA;PLENA NOITE;RESTRIÇÃO DE VISIBILIDADE EM CURVAS HORIZONTAIS;COLISÃO TRASEIRA;CÉU CLARO;DUPLA;RETA;NÃO;0
RJ;BR-101;SILVA JARDIM;8;3;QUARTA-FEIRA;2;0;1;00H-02H;MADRUGADA;PLENA NOITE;DEMAIS FALHAS MECÂNICAS OU ELÉTRICAS;INCÊNDIO;CÉU CLARO;DUPLA;RETA;SIM;0
SC;BR-470;ILHOTA;8;3;QUARTA-FEIRA;2;0;5;03H-05H;MADRUGADA;PLENO DIA;CONDUTOR DORMINDO;COLISÃO TRASEIRA;NUBLADO;DUPLA;"ACLIVE;RETA";NÃO;0
PR;BR-369;CORBELIA;8;3;QUARTA-FEIRA;2;0;6;06H-08H;MANHÃ;AMANHECER;CONDUTOR DORMINDO;COLISÃO LATERAL SENTIDO OPOSTO;CÉU CLARO;SIMPLES;CURVA;NÃO;0
SC;BR-101;ITAJAI;8;3;QUARTA-FEIRA;2;0;8;06H-08H;MANHÃ;PLENO DIA;TRAFEGAR COM MOTOCICLETA (OU SIMILAR) ENTRE AS FAIXAS;COLISÃO LATERAL MESMO SENTIDO;CÉU CLARO;MÚLTIPLA;"RETA;VIADUTO;ACLIVE";NÃO;1
SC;BR-282;AGUAS MORNAS;8;3;QUARTA-FEIRA;2;0;10;09H-11H;MANHÃ;PLENO DIA;AUSÊNCIA DE REAÇÃO DO CONDUTOR;COLISÃO TRASEIRA;CÉU CLARO;SIMPLES;"CURVA;ACLIVE";NÃO;0
SP;BR-381;ATIBAIA;8;3;TERÇA-FEIRA;1;0;4;03H-05H;MADRUGADA;PLENA NOITE;REAÇÃO TARDIA OU INEFICIENTE DO CONDUTOR;COLISÃO TRASEIRA;CÉU CLARO;DUPLA;RETA;SIM;0
PR;BR-163;CAPITAO LEONIDAS MARQUES;8;3;QUARTA-FEIRA;2;0;7;06H-08H;MANHÃ;PLENO DIA;ACESSAR A VIA SEM OBSERVAR A PRESENÇA DOS OUTROS VEÍCULOS;COLISÃO TRANSVERSAL;CÉU CLARO;DUPLA;"RETA;EM OBRAS";SIM;0
PR;BR-369;ROLANDIA;8;3;QUARTA-FEIRA;2;0;7;06H-08H;MANHÃ;PLENO DIA;AUSÊNCIA DE REAÇÃO DO CONDUTOR;COLISÃO TRASEIRA;CÉU CLARO;SIMPLES;RETA;SIM;0
PE;BR-428;CABROBO;8;3;QUARTA-FEIRA;2;0;4;03H-05H;MADRUGADA;AMANHECER;DEMAIS FALHAS MECÂNICAS OU ELÉTRICAS;INCÊNDIO;CÉU CLARO;SIMPLES;RETA;NÃO;0
ES;BR-262;MUNIZ FREIRE;8;3;QUARTA-FEIRA;2;0;14;12H-14H;TARDE;PLENO DIA;ACESSAR A VIA SEM OBSERVAR A PRESENÇA DOS OUTROS VEÍCULOS;COLISÃO TRANSVERSAL;CÉU CLARO;SIMPLES;INTERSEÇÃO DE VIAS;NÃO;0
GO;BR-080;PADRE BERNARDO;8;3;QUARTA-FEIRA;2;0;15;15H-17H;TARDE;PLENO DIA;REAÇÃO TARDIA OU INEFICIENTE DO CONDUTOR;COLISÃO FRONTAL;CÉU CLARO;SIMPLES;RETA;NÃO;0
RO;BR-364;CANDEIAS DO JAMARI;8;3;QUARTA-FEIRA;2;0;14;12H-14H;TARDE;PLENO DIA;MANOBRA DE MUDANÇA DE FAIXA;COLISÃO LATERAL SENTIDO OPOSTO;CÉU CLARO;SIMPLES;RETA;NÃO;0
SE;BR-101;CRISTINAPOLIS;8;3;QUARTA-FEIRA;2;0;16;15H-17H;TARDE;PLENO DIA;ACESSAR A VIA SEM OBSERVAR A PRESENÇA DOS OUTROS VEÍCULOS;COLISÃO TRANSVERSAL;CÉU CLARO;SIMPLES;RETA;SIM;0
RS;BR-116;VACARIA;8;3;QUARTA-FEIRA;2;0;17;15H-17H;TARDE;ANOITECER;DESRESPEITAR A PREFERÊNCIA NO CRUZAMENTO;COLISÃO TRANSVERSAL;CÉU CLARO;SIMPLES;"RETA;INTERSEÇÃO DE VIAS";SIM;0
BA;BR-116;MILAGRES;8;3;QUARTA-FEIRA;2;0;11;09H-11H;MANHÃ;PLENO DIA;CONDUTOR DORMINDO;TOMBAMENTO;NUBLADO;SIMPLES;CURVA;NÃO;0
SC;BR-470;BLUMENAU;8;3;QUARTA-FEIRA;2;0;14;12H-14H;TARDE;PLENO DIA;CONVERSÃO PROIBIDA;COLISÃO LATERAL MESMO SENTIDO;NUBLADO;SIMPLES;RETA;SIM;0
GO;BR-070;COCALZINHO DE GOIAS;7;3;SÁBADO;5;1;0;00H-02H;MADRUGADA;PLENA NOITE;CONDUTOR DORMINDO;SAÍDA DE LEITO CARROÇÁVEL;CÉU CLARO;SIMPLES;RETA;NÃO;0
MS;BR-267;NOVA ALVORADA DO SUL;8;3;QUARTA-FEIRA;2;0;7;06H-08H;MANHÃ;PLENO DIA;ULTRAPASSAGEM INDEVIDA;COLISÃO LATERAL SENTIDO OPOSTO;CÉU CLARO;SIMPLES;RETA;NÃO;1
BA;BR-116;NOVA ITARANA;8;3;QUARTA-FEIRA;2;0;10;09H-11H;MANHÃ;PLENO DIA;VELOCIDADE INCOMPATÍVEL;SAÍDA DE LEITO CARROÇÁVEL;CÉU CLARO;SIMPLES;"DECLIVE;CURVA";NÃO;0
MS;BR-262;AGUA CLARA;8;3;QUARTA-FEIRA;2;0;2;00H-02H;MADRUGADA;PLENA NOITE;DEMAIS FALHAS MECÂNICAS OU ELÉTRICAS;INCÊNDIO;CÉU CLARO;DUPLA;RETA;SIM;0
MG;BR-116;SAO FRANCISCO DO GLORIA;8;3;QUARTA-FEIRA;2;0;8;06H-08H;MANHÃ;PLENO DIA;VELOCIDADE INCOMPATÍVEL;TOMBAMENTO;NUBLADO;SIMPLES;CURVA;NÃO;0
RS;BR-392;RIO GRANDE;8;3;QUARTA-FEIRA;2;0;19;18H-20H;NOITE;PLENA NOITE;DEMAIS FALHAS MECÂNICAS OU ELÉTRICAS;EVENTOS ATÍPICOS;CÉU CLARO;DUPLA;RETA;SIM;0
BA;BR-324;AMELIA RODRIGUES;8;3;TERÇA-FEIRA;1;0;8;06H-08H;MANHÃ;PLENO DIA;CONDUTOR DEIXOU DE MANTER DISTÂNCIA DO VEÍCULO DA FRENTE;COLISÃO TRASEIRA;CÉU CLARO;DUPLA;RETA;NÃO;0
SC;BR-101;IMBITUBA;8;3;QUARTA-FEIRA;2;0;12;12H-14H;TARDE;PLENO DIA;MANOBRA DE MUDANÇA DE FAIXA;COLISÃO LATERAL MESMO SENTIDO;NUBLADO;DUPLA;"RETA;ACLIVE";NÃO;0
RS;BR-470;BARRACAO;8;3;SÁBADO;5;1;15;15H-17H;TARDE;PLENO DIA;AUSÊNCIA DE SINALIZAÇÃO;TOMBAMENTO;CHUVA;SIMPLES;"DECLIVE;CURVA";NÃO;0
MA;BR-316;CAXIAS;8;3;QUARTA-FEIRA;2;0;18;18H-20H;NOITE;PLENA NOITE;INGESTÃO DE ÁLCOOL PELO CONDUTOR;COLISÃO LATERAL SENTIDO OPOSTO;CÉU CLARO;SIMPLES;RETA;SIM;0
GO;BR-153;ANAPOLIS;8;3;QUARTA-FEIRA;2;0;16;15H-17H;TARDE;PLENO DIA;DEMAIS FALHAS MECÂNICAS OU ELÉTRICAS;INCÊNDIO;CÉU CLARO;DUPLA;RETA;SIM;0
SE;BR-101;ITAPORANGA DAJUDA;8;3;QUARTA-FEIRA;2;0;19;18H-20H;NOITE;PLENA NOITE;AUSÊNCIA DE REAÇÃO DO CONDUTOR;COLISÃO COM OBJETO;CHUVA;DUPLA;"DECLIVE;CURVA;RETORNO REGULAMENTADO";NÃO;0
PI;BR-316;TERESINA;8;3;QUARTA-FEIRA;2;0;18;18H-20H;NOITE;PLENA NOITE;ACESSAR A VIA SEM OBSERVAR A PRESENÇA DOS OUTROS VEÍCULOS;COLISÃO TRANSVERSAL;CÉU CLARO;MÚLTIPLA;"DECLIVE;INTERSEÇÃO DE VIAS";SIM;1
PR;BR-369;LONDRINA;8;3;QUARTA-FEIRA;2;0;20;18H-20H;NOITE;PLENA NOITE;AUSÊNCIA DE REAÇÃO DO CONDUTOR;ENGAVETAMENTO;CÉU CLARO;DUPLA;RETA;SIM;0
PA;BR-163;ITAITUBA;8;3;TERÇA-FEIRA;1;0;9;09H-11H;MANHÃ;PLENO DIA;ULTRAPASSAGEM INDEVIDA;COLISÃO LATERAL SENTIDO OPOSTO;CÉU CLARO;SIMPLES;RETA;SIM;0
BA;BR-116;CANDIDO SALES;8;3;QUARTA-FEIRA;2;0;8;06H-08H;MANHÃ;PLENO DIA;REAÇÃO TARDIA OU INEFICIENTE DO CONDUTOR;COLISÃO TRASEIRA;CÉU CLARO;SIMPLES;CURVA;NÃO;0
PE;BR-104;TORITAMA;8;3;QUARTA-FEIRA;2;0;20;18H-20H;NOITE;PLENA NOITE;ACESSAR A VIA SEM OBSERVAR A PRESENÇA DOS OUTROS VEÍCULOS;COLISÃO TRANSVERSAL;CÉU CLARO;SIMPLES;ROTATÓRIA;SIM;0
PA;BR-163;ITAITUBA;8;3;TERÇA-FEIRA;1;0;19;18H-20H;NOITE;PLENA NOITE;REAÇÃO TARDIA OU INEFICIENTE DO CONDUTOR;TOMBAMENTO;NUBLADO;SIMPLES;CURVA;NÃO;0
MG;BR-040;LAGOA GRANDE;8;3;QUARTA-FEIRA;2;0;9;09H-11H;MANHÃ;PLENO DIA;REAÇÃO TARDIA OU INEFICIENTE DO CONDUTOR;COLISÃO TRASEIRA;CÉU CLARO;SIMPLES;"RETA;PONTE";NÃO;0
RJ;BR-101;MACAE;8;3;QUARTA-FEIRA;2;0;19;18H-20H;NOITE;PLENA NOITE;CONDUTOR DEIXOU DE MANTER DISTÂNCIA DO VEÍCULO DA FRENTE;ENGAVETAMENTO;CÉU CLARO;SIMPLES;CURVA;NÃO;0
RO;BR-421;MONTE NEGRO;8;3;QUARTA-FEIRA;2;0;8;06H-08H;MANHÃ;PLENO DIA;REAÇÃO TARDIA OU INEFICIENTE DO CONDUTOR;COLISÃO LATERAL SENTIDO OPOSTO;CÉU CLARO;SIMPLES;RETA;NÃO;0
MG;BR-116;GOVERNADOR VALADARES;8;3;QUARTA-FEIRA;2;0;14;12H-14H;TARDE;PLENO DIA;CONDUTOR DORMINDO;COLISÃO LATERAL SENTIDO OPOSTO;CÉU CLARO;SIMPLES;RETA;NÃO;0
MA;BR-222;SANTA LUZIA;8;3;QUARTA-FEIRA;2;0;18;18H-20H;NOITE;PLENA NOITE;DEMAIS FALHAS MECÂNICAS OU ELÉTRICAS;SAÍDA DE LEITO CARROÇÁVEL;CÉU CLARO;SIMPLES;"DECLIVE;CURVA";NÃO;0
RJ;BR-101;ITABORAI;8;3;QUARTA-FEIRA;2;0;23;21H-23H;NOITE;PLENA NOITE;MANOBRA DE MUDANÇA DE FAIXA;COLISÃO LATERAL MESMO SENTIDO;CÉU CLARO;DUPLA;RETA;SIM;0
PE;BR-101;IGARASSU;8;3;QUINTA-FEIRA;3;0;0;00H-02H;MADRUGADA;PLENA NOITE;AUSÊNCIA DE REAÇÃO DO CONDUTOR;SAÍDA DE LEITO CARROÇÁVEL;CÉU CLARO;MÚLTIPLA;RETA;SIM;0
MG;BR-381;CAREACU;8;3;QUINTA-FEIRA;3;0;1;00H-02H;MADRUGADA;PLENA NOITE;REAÇÃO TARDIA OU INEFICIENTE DO CONDUTOR;COLISÃO COM OBJETO;CHUVA;DUPLA;"RETA;DECLIVE";NÃO;0
SP;BR-116;ITAPECERICA DA SERRA;8;3;QUINTA-FEIRA;3;0;0;00H-02H;MADRUGADA;PLENA NOITE;MANOBRA DE MUDANÇA DE FAIXA;COLISÃO LATERAL MESMO SENTIDO;GAROA/CHUVISCO;DUPLA;RETA;NÃO;0
TO;BR-153;FATIMA;8;3;QUINTA-FEIRA;3;0;2;00H-02H;MADRUGADA;PLENA NOITE;DEMAIS FALHAS MECÂNICAS OU ELÉTRICAS;INCÊNDIO;CÉU CLARO;DUPLA;RETA;SIM;0
MG;BR-381;BRUMADINHO;8;3;QUINTA-FEIRA;3;0;2;00H-02H;MADRUGADA;PLENA NOITE;VELOCIDADE INCOMPATÍVEL;TOMBAMENTO;CÉU CLARO;DUPLA;"DECLIVE;CURVA";NÃO;0
PE;BR-423;JUPI;8;3;QUINTA-FEIRA;3;0;2;00H-02H;MADRUGADA;PLENA NOITE;REAÇÃO TARDIA OU INEFICIENTE DO CONDUTOR;COLISÃO TRASEIRA;CÉU CLARO;SIMPLES;"ACLIVE;RETA";NÃO;0
RJ;BR-040;DUQUE DE CAXIAS;8;3;QUINTA-FEIRA;3;0;5;03H-05H;MADRUGADA;AMANHECER;DEMAIS FALHAS MECÂNICAS OU ELÉTRICAS;INCÊNDIO;NUBLADO;SIMPLES;RETA;NÃO;0
PE;BR-408;ALIANCA;8;3;QUINTA-FEIRA;3;0;3;03H-05H;MADRUGADA;PLENA NOITE;AUSÊNCIA DE REAÇÃO DO CONDUTOR;TOMBAMENTO;CÉU CLARO;SIMPLES;"DECLIVE;CURVA;PONTE";NÃO;1
MG;BR-262;ARAUJOS;8;3;QUINTA-FEIRA;3;0;5;03H-05H;MADRUGADA;AMANHECER;CONDUTOR DEIXOU DE MANTER DISTÂNCIA DO VEÍCULO DA FRENTE;COLISÃO TRASEIRA;CÉU CLARO;SIMPLES;RETA;NÃO;1
PE;BR-101;RECIFE;8;3;QUINTA-FEIRA;3;0;5;03H-05H;MADRUGADA;AMANHECER;MANOBRA DE MUDANÇA DE FAIXA;COLISÃO LATERAL MESMO SENTIDO;CÉU CLARO;DUPLA;RETA;SIM;0
GO;BR-060;ALEXANIA;8;3;QUINTA-FEIRA;3;0;5;03H-05H;MADRUGADA;AMANHECER;DEMAIS FALHAS MECÂNICAS OU ELÉTRICAS;TOMBAMENTO;CÉU CLARO;DUPLA;"DECLIVE;CURVA";NÃO;0
MG;BR-381;EXTREMA;8;3;QUINTA-FEIRA;3;0;5;03H-05H;MADRUGADA;AMANHECER;AUSÊNCIA DE REAÇÃO DO CONDUTOR;COLISÃO LATERAL MESMO SENTIDO;CÉU CLARO;DUPLA;"ACLIVE;CURVA";NÃO;0
CE;BR-222;COREAU;8;3;QUINTA-FEIRA;3;0;4;03H-05H;MADRUGADA;AMANHECER;DEMAIS FALHAS MECÂNICAS OU ELÉTRICAS;TOMBAMENTO;CÉU CLARO;SIMPLES;RETA;NÃO;0
PR;BR-369;LONDRINA;8;3;QUINTA-FEIRA;3;0;6;06H-08H;MANHÃ;PLENO DIA;MANOBRA DE MUDANÇA DE FAIXA;COLISÃO TRANSVERSAL;NUBLADO;DUPLA;"RETA;INTERSEÇÃO DE VIAS";SIM;0
RS;BR-386;ESTRELA;8;3;QUINTA-FEIRA;3;0;7;06H-08H;MANHÃ;PLENO DIA;ACESSAR A VIA SEM OBSERVAR A PRESENÇA DOS OUTROS VEÍCULOS;COLISÃO TRANSVERSAL;NUBLADO;DUPLA;RETA;NÃO;0
BA;BR-242;ITABERABA;8;3;QUINTA-FEIRA;3;0;3;03H-05H;MADRUGADA;PLENA NOITE;VELOCIDADE INCOMPATÍVEL;TOMBAMENTO;NUBLADO;SIMPLES;"CURVA;ACLIVE";NÃO;0
MG;BR-365;PATROCINIO;8;3;QUINTA-FEIRA;3;0;7;06H-08H;MANHÃ;PLENO DIA;ULTRAPASSAGEM INDEVIDA;COLISÃO FRONTAL;CÉU CLARO;SIMPLES;RETA;NÃO;1
CE;BR-116;JAGUARIBARA;8;3;TERÇA-FEIRA;1;0;10;09H-11H;MANHÃ;PLENO DIA;VELOCIDADE INCOMPATÍVEL;ATROPELAMENTO DE PEDESTRE;SOL;SIMPLES;"RETA;EM OBRAS;DECLIVE";NÃO;0
RS;BR-472;SANTO CRISTO;8;3;QUINTA-FEIRA;3;0;9;09H-11H;MANHÃ;PLENO DIA;TRANSITAR NA CONTRAMÃO;COLISÃO FRONTAL;CÉU CLARO;SIMPLES;"CURVA;INTERSEÇÃO DE VIAS";SIM;1
PA;BR-163;TRAIRAO;8;3;QUINTA-FEIRA;3;0;6;06H-08H;MANHÃ;PLENO DIA;PEDESTRE ANDAVA NA PISTA;ATROPELAMENTO DE PEDESTRE;CÉU CLARO;SIMPLES;RETA;NÃO;0
RJ;BR-101;RIO DE JANEIRO;8;3;QUINTA-FEIRA;3;0;9;09H-11H;MANHÃ;PLENO DIA;CONDUTOR DEIXOU DE MANTER DISTÂNCIA DO VEÍCULO DA FRENTE;COLISÃO TRASEIRA;CÉU CLARO;DUPLA;INTERSEÇÃO DE VIAS;NÃO;0
RR;BR-174;RORAINOPOLIS;8;3;QUINTA-FEIRA;3;0;0;00H-02H;MADRUGADA;PLENA NOITE;VELOCIDADE INCOMPATÍVEL;COLISÃO LATERAL SENTIDO OPOSTO;CÉU CLARO;SIMPLES;PONTE;NÃO;0
GO;BR-040;LUZIANIA;8;3;QUINTA-FEIRA;3;0;11;09H-11H;MANHÃ;PLENO DIA;PEDESTRE - INGESTÃO DE ÁLCOOL/ SUBSTÂNCIAS PSICOATIVAS;ATROPELAMENTO DE PEDESTRE;CÉU CLARO;DUPLA;RETA;NÃO;0
GO;BR-050;CUMARI;8;3;QUINTA-FEIRA;3;0;11;09H-11H;MANHÃ;PLENO DIA;DEMAIS FALHAS MECÂNICAS OU ELÉTRICAS;SAÍDA DE LEITO CARROÇÁVEL;CÉU CLARO;DUPLA;CURVA;NÃO;0
PB;BR-427;POMBAL;8;3;QUINTA-FEIRA;3;0;11;09H-11H;MANHÃ;PLENO DIA;CONVERSÃO PROIBIDA;COLISÃO TRANSVERSAL;CÉU CLARO;SIMPLES;"RETA;INTERSEÇÃO DE VIAS";SIM;0
SP;BR-116;GUARULHOS;8;3;QUINTA-FEIRA;3;0;11;09H-11H;MANHÃ;PLENO DIA;AUSÊNCIA DE REAÇÃO DO CONDUTOR;ENGAVETAMENTO;CÉU CLARO;MÚLTIPLA;"RETA;EM OBRAS";SIM;0
MG;BR-040;MATOZINHOS;8;3;QUINTA-FEIRA;3;0;10;09H-11H;MANHÃ;PLENO DIA;MANOBRA DE MUDANÇA DE FAIXA;COLISÃO LATERAL MESMO SENTIDO;CÉU CLARO;DUPLA;RETA;NÃO;0
PR;BR-376;CURITIBA;8;3;QUINTA-FEIRA;3;0;12;12H-14H;TARDE;PLENO DIA;AUSÊNCIA DE REAÇÃO DO CONDUTOR;COLISÃO TRASEIRA;NUBLADO;DUPLA;RETA;SIM;0
RO;BR-319;PORTO VELHO;8;3;QUINTA-FEIRA;3;0;12;12H-14H;TARDE;PLENO DIA;CONDUTOR DEIXOU DE MANTER DISTÂNCIA DO VEÍCULO DA FRENTE;COLISÃO TRASEIRA;NUBLADO;DUPLA;RETA;SIM;0
RS;BR-116;CAPAO DO LEAO;8;3;QUINTA-FEIRA;3;0;13;12H-14H;TARDE;PLENO DIA;AUSÊNCIA DE REAÇÃO DO CONDUTOR;COLISÃO TRASEIRA;CÉU CLARO;SIMPLES;"RETA;EM OBRAS";NÃO;0
